date,Altcoin_unscaled,Altcoin_monthly,isPartial,scale,Altcoin
2023-05-15,37,21.0,,0.21,7.77
2023-05-16,0,21.0,,0.21,0.0
2023-05-17,0,21.0,,0.21,0.0
2023-05-18,67,21.0,,0.21,14.07
2023-05-19,0,21.0,,0.21,0.0
2023-05-20,56,21.0,,0.21,11.76
2023-05-21,54,19.0,False,0.19,10.26
2023-05-22,0,19.0,,0.19,0.0
2023-05-23,0,19.0,,0.19,0.0
2023-05-24,0,19.0,,0.19,0.0
2023-05-25,0,19.0,,0.19,0.0
2023-05-26,39,19.0,,0.19,7.41
2023-05-27,50,19.0,,0.19,9.5
2023-05-28,0,8.0,False,0.08,0.0
2023-05-29,0,8.0,,0.08,0.0
2023-05-30,0,8.0,,0.08,0.0
2023-05-31,0,8.0,,0.08,0.0
2023-06-01,21,8.0,,0.08,1.68
2023-06-02,0,8.0,,0.08,0.0
2023-06-03,0,8.0,,0.08,0.0
2023-06-04,0,20.0,False,0.2,0.0
2023-06-05,0,20.0,,0.2,0.0
2023-06-06,19,20.0,,0.2,3.8000000000000003
2023-06-07,0,20.0,,0.2,0.0
2023-06-08,0,20.0,,0.2,0.0
2023-06-09,48,20.0,,0.2,9.600000000000001
2023-06-10,100,20.0,,0.2,20.0
2023-06-11,31,24.0,False,0.24,7.4399999999999995
2023-06-12,34,24.0,,0.24,8.16
2023-06-13,0,24.0,,0.24,0.0
2023-06-14,0,24.0,,0.24,0.0
2023-06-15,31,24.0,,0.24,7.4399999999999995
2023-06-16,30,24.0,,0.24,7.199999999999999
2023-06-17,59,24.0,,0.24,14.16
2023-06-18,44,21.0,False,0.21,9.24
2023-06-19,32,21.0,,0.21,6.72
2023-06-20,0,21.0,,0.21,0.0
2023-06-21,0,21.0,,0.21,0.0
2023-06-22,79,21.0,,0.21,16.59
2023-06-23,33,21.0,,0.21,6.93
2023-06-24,62,21.0,,0.21,13.02
2023-06-25,0,16.0,False,0.16,0.0
2023-06-26,26,16.0,,0.16,4.16
2023-06-27,68,16.0,,0.16,10.88
2023-06-28,41,16.0,,0.16,6.5600000000000005
2023-06-29,0,16.0,,0.16,0.0
2023-06-30,55,16.0,,0.16,8.8
2023-07-01,100,16.0,,0.16,16.0
2023-07-02,0,23.0,False,0.23,0.0
2023-07-03,75,23.0,,0.23,17.25
2023-07-04,0,23.0,,0.23,0.0
2023-07-05,23,23.0,,0.23,5.29
2023-07-06,32,23.0,,0.23,7.36
2023-07-07,0,23.0,,0.23,0.0
2023-07-08,21,23.0,,0.23,4.83
2023-07-09,0,36.0,False,0.36,0.0
2023-07-10,20,36.0,,0.36,7.199999999999999
2023-07-11,0,36.0,,0.36,0.0
2023-07-12,0,36.0,,0.36,0.0
2023-07-13,45,36.0,,0.36,16.2
2023-07-14,15,36.0,,0.36,5.3999999999999995
2023-07-15,47,36.0,,0.36,16.919999999999998
2023-07-16,0,20.0,False,0.2,0.0
2023-07-17,0,20.0,,0.2,0.0
2023-07-18,50,20.0,,0.2,10.0
2023-07-19,0,20.0,,0.2,0.0
2023-07-20,20,20.0,,0.2,4.0
2023-07-21,0,20.0,,0.2,0.0
2023-07-22,30,20.0,,0.2,6.0
2023-07-23,16,28.0,False,0.28,4.48
2023-07-24,0,28.0,,0.28,0.0
2023-07-25,54,28.0,,0.28,15.120000000000001
2023-07-26,21,28.0,,0.28,5.880000000000001
2023-07-27,59,28.0,,0.28,16.520000000000003
2023-07-28,15,28.0,,0.28,4.2
2023-07-29,0,28.0,,0.28,0.0
2023-07-30,0,28.0,False,0.28,0.0
2023-07-31,26,28.0,,0.28,7.280000000000001
2023-08-01,0,28.0,,0.28,0.0
2023-08-02,28,28.0,,0.28,7.840000000000001
2023-08-03,0,28.0,,0.28,0.0
2023-08-04,44,28.0,,0.28,12.32
2023-08-05,41,28.0,,0.28,11.48
2023-08-06,0,20.0,False,0.2,0.0
2023-08-07,0,20.0,,0.2,0.0
2023-08-08,0,20.0,,0.2,0.0
2023-08-09,57,20.0,,0.2,11.4
2023-08-10,0,20.0,,0.2,0.0
2023-08-11,24,20.0,,0.2,4.800000000000001
2023-08-12,0,20.0,,0.2,0.0
2023-08-13,39,26.0,False,0.26,10.14
2023-08-14,100,26.0,,0.26,26.0
2023-08-15,0,26.0,,0.26,0.0
2023-08-16,0,26.0,,0.26,0.0
2023-08-17,79,26.0,,0.26,20.54
2023-08-18,45,26.0,,0.26,11.700000000000001
2023-08-19,32,26.0,,0.26,8.32
2023-08-20,0,19.0,False,0.19,0.0
2023-08-21,0,19.0,,0.19,0.0
2023-08-22,0,19.0,,0.19,0.0
2023-08-23,0,19.0,,0.19,0.0
2023-08-24,28,19.0,,0.19,5.32
2023-08-25,0,19.0,,0.19,0.0
