date,BTC_unscaled,BTC_monthly,isPartial,scale,BTC
2023-07-20,71,22.0,,0.22,15.62
2023-07-21,68,22.0,,0.22,14.96
2023-07-22,56,22.0,,0.22,12.32
2023-07-23,62,21.0,False,0.21,13.02
2023-07-24,67,21.0,,0.21,14.07
2023-07-25,70,21.0,,0.21,14.7
2023-07-26,67,21.0,,0.21,14.07
2023-07-27,65,21.0,,0.21,13.65
2023-07-28,57,21.0,,0.21,11.969999999999999
2023-07-29,55,21.0,,0.21,11.549999999999999
2023-07-30,60,19.0,False,0.19,11.4
2023-07-31,60,19.0,,0.19,11.4
2023-08-01,50,19.0,,0.19,9.5
2023-08-02,55,19.0,,0.19,10.45
2023-08-03,51,19.0,,0.19,9.69
2023-08-04,45,19.0,,0.19,8.55
2023-08-05,42,19.0,,0.19,7.98
2023-08-06,48,20.0,False,0.2,9.600000000000001
2023-08-07,49,20.0,,0.2,9.8
2023-08-08,55,20.0,,0.2,11.0
2023-08-09,52,20.0,,0.2,10.4
2023-08-10,49,20.0,,0.2,9.8
2023-08-11,47,20.0,,0.2,9.4
2023-08-12,36,20.0,,0.2,7.2
2023-08-13,38,25.0,False,0.25,9.5
2023-08-14,47,25.0,,0.25,11.75
2023-08-15,50,25.0,,0.25,12.5
2023-08-16,46,25.0,,0.25,11.5
2023-08-17,79,25.0,,0.25,19.75
2023-08-18,100,25.0,,0.25,25.0
2023-08-19,58,25.0,,0.25,14.5
2023-08-20,55,23.0,False,0.23,12.65
2023-08-21,62,23.0,,0.23,14.26
2023-08-22,58,23.0,,0.23,13.34
2023-08-23,54,23.0,,0.23,12.42
2023-08-24,53,23.0,,0.23,12.190000000000001
2023-08-25,49,23.0,,0.23,11.270000000000001
